material,thickness,particle_type,energy,heating_mean,heating_std,total_mean,total_std,flux_mean,flux_std,sensitivity_mean,sensitivity_std,total_prob_mean,total_prob_std
diamond,0.05,neutron,4200000.0,38.47336545289305,1.1410472274905696,9.84552973981318e-05,4.3357105782099786e-07,0.00025272904720050944,1.1130831474407823e-06,9.160325107831678e-06,2.7167791130727846e-07,9.84552973981318e-05,4.3357105782099786e-07
diamond,0.05,neutron,4300000.0,33.043117134616686,1.0323851275471687,9.237215116637533e-05,4.3718740672850474e-07,0.00025451217335164525,1.201067316209532e-06,7.684445845259694e-06,2.400895645458532e-07,9.237215116637533e-05,4.3718740672850474e-07
diamond,0.05,neutron,4400000.0,30.787824350050798,0.9711844352582193,9.241786917810935e-05,4.4140643682675e-07,0.0003703642434403881,2.476026567762497e-06,6.997232806829727e-06,2.2072373528595894e-07,9.241786917810935e-05,4.4140643682675e-07
diamond,0.05,neutron,4500000.0,29.939920760450747,1.148465579193182,7.279750250123844e-05,3.5310811760582784e-07,0.0002557779715512469,1.2371819853403007e-06,6.65331572454461e-06,2.5521457315404044e-07,7.279750250123844e-05,3.5310811760582784e-07
diamond,0.05,neutron,4600000.0,29.078002153430372,1.1128635784510978,6.608553409754462e-05,3.098130291350413e-07,0.00025235568884556897,1.1846912623542232e-06,6.321304815963124e-06,2.4192686488067345e-07,6.608553409754462e-05,3.098130291350413e-07
diamond,0.05,neutron,4700000.0,29.27835691127655,1.0977290652028229,6.217551608154795e-05,2.7598105867825087e-07,0.00025562666091756146,1.1308157815984985e-06,6.229437640697138e-06,2.3355937557506868e-07,6.217551608154795e-05,2.7598105867825087e-07
diamond,0.05,neutron,4800000.0,29.052012048065855,1.1791275858274892,5.824603887833403e-05,2.7264676731420075e-07,0.00025531531174139197,1.1951497863836866e-06,6.0525025100137195e-06,2.456515803807269e-07,5.824603887833403e-05,2.7264676731420075e-07
diamond,0.05,neutron,4900000.0,28.814589765245284,1.2207134696067488,5.9685078680766e-05,2.929807337454799e-07,0.000257008201939151,1.2401358244956398e-06,5.880528523519446e-06,2.491251978789283e-07,5.9685078680766e-05,2.929807337454799e-07
diamond,0.05,neutron,5000000.0,26.370888387417846,1.2159481526589855,5.350078624921599e-05,2.6503192730584267e-07,0.0002544193529964301,1.2595302267291513e-06,5.274177677483569e-06,2.431896305317971e-07,5.350078624921599e-05,2.6503192730584267e-07
diamond,0.05,neutron,5100000.0,30.06836266250478,1.3869415220522678,5.1516405135190105e-05,2.7776848549145316e-07,0.0002546140897889533,1.3733081551616875e-06,5.895757384804858e-06,2.719493180494643e-07,5.1516405135190105e-05,2.7776848549145316e-07
