particle,energy_MeV,detector_material,detector_thickness_mm,mean_eDep_MeV,std_eDep_MeV,stderr_eDep_MeV,n_events
deuteron,1.8,Si,1.75,1.8,1.38264e-06,1.38264e-08,10000
deuteron,1.8,Si,2.0,1.8,1.38264e-06,1.38264e-08,10000
deuteron,1.9,Si,0.5,1.9,7.05245e-07,7.05245e-09,10000
deuteron,1.9,Si,0.75,1.9,7.05245e-07,7.05245e-09,10000
deuteron,1.9,Si,1.0,1.9,7.05245e-07,7.05245e-09,10000
deuteron,1.9,Si,1.25,1.9,7.05245e-07,7.05245e-09,10000
deuteron,1.9,Si,1.5,1.9,7.05245e-07,7.05245e-09,10000
deuteron,1.9,Si,1.75,1.9,7.05245e-07,7.05245e-09,10000
deuteron,1.9,Si,2.0,1.9,7.05245e-07,7.05245e-09,10000
deuteron,2.0,Si,0.5,2.0,0.0,0.0,10000
deuteron,2.0,Si,0.75,2.0,0.0,0.0,10000
deuteron,2.0,Si,1.0,2.0,0.0,0.0,10000
deuteron,2.0,Si,1.25,2.0,0.0,0.0,10000
deuteron,2.0,Si,1.5,2.0,0.0,0.0,10000
deuteron,2.0,Si,1.75,2.0,0.0,0.0,10000
deuteron,2.0,Si,2.0,2.0,0.0,0.0,10000
deuteron,2.0999999999999996,Si,0.5,2.1,1.14098e-06,1.14098e-08,10000
deuteron,2.0999999999999996,Si,0.75,2.1,1.14098e-06,1.14098e-08,10000
deuteron,2.0999999999999996,Si,1.0,2.1,1.14098e-06,1.14098e-08,10000
deuteron,2.0999999999999996,Si,1.25,2.1,1.14098e-06,1.14098e-08,10000
deuteron,2.0999999999999996,Si,1.5,2.1,1.14098e-06,1.14098e-08,10000
deuteron,2.0999999999999996,Si,1.75,2.1,1.14098e-06,1.14098e-08,10000
deuteron,2.0999999999999996,Si,2.0,2.1,1.14098e-06,1.14098e-08,10000
deuteron,2.1999999999999997,Si,0.5,2.2,0.0,0.0,10000
deuteron,2.1999999999999997,Si,0.75,2.2,0.0,0.0,10000
deuteron,2.1999999999999997,Si,1.0,2.2,0.0,0.0,10000
deuteron,2.1999999999999997,Si,1.25,2.2,0.0,0.0,10000
deuteron,2.1999999999999997,Si,1.5,2.2,0.0,0.0,10000
deuteron,2.1999999999999997,Si,1.75,2.2,0.0,0.0,10000
deuteron,2.1999999999999997,Si,2.0,2.2,0.0,0.0,10000
deuteron,2.3,Si,0.5,2.3,1.63657e-06,1.63657e-08,10000
deuteron,2.3,Si,0.75,2.3,1.63657e-06,1.63657e-08,10000
deuteron,2.3,Si,1.0,2.3,1.63603e-06,1.63603e-08,10000
deuteron,2.3,Si,1.25,2.3,1.63657e-06,1.63657e-08,10000
deuteron,2.3,Si,1.5,2.3,1.63657e-06,1.63657e-08,10000
deuteron,2.3,Si,1.75,2.3,1.63657e-06,1.63657e-08,10000
deuteron,2.3,Si,2.0,2.3,1.63657e-06,1.63657e-08,10000
deuteron,2.4,Si,0.5,2.4,0.0,0.0,10000
deuteron,2.4,Si,0.75,2.39999,0.00129152,1.29152e-05,10000
deuteron,2.4,Si,1.0,2.40034,0.0339156,0.000339156,10000
deuteron,2.4,Si,1.25,2.4,0.0,0.0,10000
deuteron,2.4,Si,1.5,2.4,0.0,0.0,10000
deuteron,2.4,Si,1.75,2.4,0.0,0.0,10000
deuteron,2.4,Si,2.0,2.4,0.0,0.0,10000
deuteron,2.5,Si,0.5,2.50031,0.0306766,0.000306766,10000
